Timestamp (s),RR Interval (ms),Event
223.825,581.055,
223.825,571.289,
224.814,565.430,
224.814,561.523,
225.810,547.852,
225.810,543.945,
226.839,546.875,
227.830,570.313,
227.830,601.563,
228.820,598.633,
228.820,585.938,
229.855,619.141,
230.800,642.578,
230.800,625.977,
231.925,611.328,
232.824,629.883,
232.824,640.625,
233.904,607.422,
233.904,610.352,
234.805,613.281,
235.840,623.047,
235.840,612.305,
236.830,593.750,
236.830,609.375,
237.826,623.047,
238.854,628.906,
238.854,625.977,
239.803,589.844,
239.803,582.031,
240.834,572.266,
241.824,583.984,
241.824,607.422,
242.859,638.672,
243.804,645.508,
243.804,663.086,
244.839,660.156,
245.829,620.117,
245.829,619.141,
246.864,625.000,
246.864,629.883,
247.809,619.141,
248.799,598.633,Event 1
248.799,603.516,Event 1
249.834,620.117,
250.824,646.484,
250.824,665.039,
251.814,658.203,
251.814,623.047,
252.804,622.070,
253.839,625.977,
253.839,626.953,
254.829,611.328,
255.820,612.305,
255.820,637.695,
256.827,665.039,
257.799,645.508,
257.799,663.086,
258.834,690.430,
258.834,679.688,
259.824,655.273,
260.814,606.445,
260.814,598.633,
261.804,609.375,
262.838,633.789,
262.838,630.859,
263.838,611.328,
264.819,647.461,
264.819,682.617,
265.818,673.828,
266.799,694.336,
266.799,712.891,
267.834,734.375,
268.869,689.453,
268.869,650.391,
269.859,645.508,
270.803,647.461,
270.803,662.109,
271.838,673.828,
272.828,646.484,
272.828,621.094,
273.863,632.813,
274.814,671.875,
274.814,702.148,
275.799,705.078,
276.834,668.945,
276.834,643.555,
277.824,655.273,
278.813,654.297,
278.813,615.234,
279.806,610.352,
279.806,624.023,
280.839,631.836,
281.830,610.352,
281.830,612.305,
282.818,645.508,
283.809,655.273,
283.809,646.484,
284.811,611.328,
284.811,634.766,
285.835,656.250,
286.823,627.930,
286.823,620.117,
287.813,649.414,
288.803,662.109,
288.803,627.930,
289.839,637.695,
290.828,664.063,
290.828,695.313,
291.818,694.336,
292.810,689.453,
292.810,694.336,
293.798,692.383,
294.833,639.648,
294.833,619.141,
295.824,615.234,
295.824,586.914,
296.814,568.359,
297.803,562.500,
297.803,582.031,
298.838,598.633,
298.838,584.961,
299.829,623.047,
300.818,674.805,
300.818,663.086,
301.808,652.344,
302.799,685.547,
302.799,681.641,
303.833,628.906,
304.823,607.422,
304.823,609.375,
305.813,587.891,
305.813,577.148,
306.819,607.422,
307.838,652.344,
307.838,618.164,
308.828,633.789,
309.820,688.477,
309.820,755.859,
310.809,701.172,
311.802,686.523,
312.833,699.219,
312.833,688.477,
313.823,643.555,
313.823,631.836,
314.813,624.023,
315.810,598.633,
315.810,596.680,
316.838,608.398,
317.873,607.422,
317.873,681.641,
318.863,723.633,
319.852,749.023,
319.852,676.758,
320.798,623.047,
321.833,626.953,
321.833,629.883,
322.822,605.469,
322.822,590.820,
323.815,600.586,
323.815,607.422,
324.811,588.867,
325.838,585.938,
325.838,612.305,
326.829,640.625,
327.817,635.742,
327.817,628.906,
328.852,656.250,
329.798,669.922,
329.798,627.930,
330.878,608.398,
330.878,625.000,
331.852,625.977,
332.812,596.680,
332.812,595.703,
333.803,601.563,
333.803,613.281,
334.837,602.539,
335.828,614.258,
335.828,657.227,
336.817,689.453,
337.808,663.086,
337.808,656.250,
338.798,666.992,
339.832,655.273,
339.832,611.328,
340.867,590.820,
340.867,592.773,
341.813,604.492,
342.803,618.164,
342.803,620.117,
343.837,637.695,
344.828,670.898,
344.828,694.336,
345.817,653.320,
346.807,624.023,
346.807,638.672,
347.805,641.602,
348.832,617.188,
348.832,617.188,
349.822,638.672,
349.822,647.461,
350.812,624.023,
351.849,616.211,
351.849,631.836,
352.837,634.766,
352.837,606.445,
353.827,600.586,
354.817,609.375,
354.817,619.141,
355.807,606.445,
356.811,613.281,
356.811,633.789,
357.832,642.578,
357.832,609.375,
358.823,599.609,
359.812,590.820,
359.812,570.313,
360.802,553.711,
360.802,548.828,
361.837,540.039,
361.837,537.109,
362.827,548.828,
362.827,571.289,
363.817,584.961,
364.807,575.195,
364.807,621.094,
365.805,664.063,
366.831,684.570,
366.831,643.555,
367.866,646.484,
368.857,669.922,
368.857,648.438,
369.846,610.352,
369.846,614.258,
370.837,621.094,
371.827,609.375,
371.827,607.422,
372.817,628.906,
373.806,651.367,
373.806,642.578,
374.797,633.789,
375.832,662.109,
375.832,679.688,
376.822,650.391,
377.812,631.836,
377.812,644.531,
378.801,649.414,
378.801,628.906,
379.836,628.906,
380.826,639.648,
380.826,639.648,
381.816,625.977,
382.897,626.953,
382.897,627.930,
383.842,599.609,
383.842,587.891,
384.832,604.492,
385.821,602.539,
385.821,583.008,
386.811,581.055,
386.811,561.523,
387.801,563.477,
387.801,578.125,
388.837,574.219,
